"","subID","Exclusion_preScreen","Exclusion_postScreen","Exclude","PowerLevel","Say_Spkr2","Say_Spkr3","Say_Spkr4","Say_Spkr5","Think_Spkr2","Think_Spkr3","Think_Spkr4","Think_Spkr5","Decision_TeamChoice","Decision_AccurateChoice","PublicPattern","PrivatePattern","PublicVoteCount","PrivateVoteCount","yellowVotesToFirstBlue","yellowBeliefsToFirstBlue","Spkr2_Flip","all_or_none"
"1",4,"Round1","Passed",0,"Anonymous",5,3,1,1,1,1,1,1,2,5,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"2",8,"Round1","Passed",0,"Popular",9,7,5,5,5,5,5,5,5,9,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"3",9,"Round1","Passed",0,"Anonymous",11,14,18,20,1,1,1,1,7,5,"YYYYY","YBBBB",4,0,4,1,"Spkr2_VotesYellow","YYYYY"
"4",10,"Round1","Passed",0,"Anonymous",4,2,1,1,1,1,1,1,2,10,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"5",11,"Round1","Passed",0,"Popular",19,16,9,11,3,3,3,3,16,8,"YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed"
"6",12,"Round1","Passed",0,"Popular",13,7,16,12,2,2,4,3,17,10,"YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed"
"7",13,"Round1","Passed",0,"Anonymous",1,1,1,1,1,1,1,1,1,5,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"8",14,"Round1","Passed",0,"Popular",5,7,2,1,2,3,4,1,4,10,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"9",15,"Round1","Passed",0,"Popular",5,16,3,16,1,3,1,2,3,5,"YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed"
"10",16,"Round1","Passed",0,"Anonymous",5,2,1,1,3,2,1,1,2,5,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"11",17,"Round1","Passed",0,"Anonymous",5,5,1,1,5,5,1,1,1,11,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"12",18,"Round1","Passed",0,"Popular",20,20,20,20,9,16,16,18,16,20,"YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY"
"13",19,"Round1","Passed",0,"Anonymous",1,5,12,1,1,1,1,1,5,8,"YBBYB","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed"
"14",20,"Round1","Passed",0,"Anonymous",1,5,3,1,1,5,5,1,1,3,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"15",21,"Round1","Passed",0,"Anonymous",5,3,2,1,5,3,1,1,3,10,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"16",22,"Round1","Passed",0,"Popular",9,5,1,1,1,1,1,1,3,3,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"17",23,"Round1","Passed",0,"Anonymous",9,6,3,1,1,1,1,1,1,9,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"18",24,"Round1","Passed",0,"Popular",13,16,18,19,5,5,5,5,17,6,"YYYYY","YBBBB",4,0,4,1,"Spkr2_VotesYellow","YYYYY"
"19",25,"Round1","Passed",0,"Anonymous",16,18,19,20,2,4,9,13,20,8,"YYYYY","YBBBY",4,1,4,1,"Spkr2_VotesYellow","YYYYY"
"20",26,"Round1","Passed",0,"Popular",5,7,3,1,2,2,1,1,1,3,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"21",27,"Round1","Passed",0,"Popular",16,5,10,8,9,3,4,2,15,11,"YYBBB","YBBBB",1,0,2,1,"Spkr2_VotesYellow","Mixed"
"22",28,"Round1","Passed",0,"Anonymous",8,7,4,2,2,4,5,3,1,10,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"23",30,"Round1","Passed",0,"Popular",17,17,17,16,16,16,16,16,18,16,"YYYYY","YYYYY",4,4,4,4,"Spkr2_VotesYellow","YYYYY"
"24",31,"Round2","Passed",0,"Popular",8,5,4,2,5,4,3,1,3,2,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"25",32,"Round1","Passed",1,"Popular",20,14,20,18,18,17,20,18,18,16,"YYYYY","YYYYY",4,4,4,4,"Spkr2_VotesYellow","YYYYY"
"26",33,"Round1","Passed",0,"Anonymous",16,16,17,18,5,5,8,9,16,11,"YYYYY","YBBBB",4,0,4,1,"Spkr2_VotesYellow","YYYYY"
"27",34,"Round1","Passed",0,"Anonymous",10,1,1,1,1,1,1,1,1,9,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"28",35,"Round1","Passed",0,"Popular",17,16,17,17,3,2,2,2,16,8,"YYYYY","YBBBB",4,0,4,1,"Spkr2_VotesYellow","YYYYY"
"29",36,"Round1","Passed",0,"Anonymous",5,1,1,1,5,4,1,1,3,10,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"30",37,"Round1","Passed",0,"Anonymous",1,1,1,1,2,1,1,1,6,11,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"31",38,"Round1","Passed",0,"Anonymous",2,2,1,1,3,3,3,3,2,5,"YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB"
"32",40,"Round1","Passed",0,"Anonymous",1,2,1,17,1,1,1,1,1,1,"YBBBY","YBBBB",1,0,1,1,"Spkr2_VotesBlue","Mixed"
"33",41,"Round1","Passed",0,"Popular",15,16,18,19,3,3,3,3,18,4,"YYYYY","YBBBB",4,0,4,1,"Spkr2_VotesYellow","YYYYY"
